trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
166,False,"{'a': 0.3, 'e': 0.07761505257063328}",25,2,25.317254481511835,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
167,False,"{'a': 0.3, 'e': 0.07738232325341368}",25,4,27.26725921203512,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.3, 'e': 0.07715167498104596}",20,0,10.104527241863268,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
169,False,"{'a': 0.3, 'e': 0.07692307692307693}",25,6,11.975532653659254,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.3, 'e': 0.07669649888473704}",20,7,21.362223474694837,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.3, 'e': 0.07647191129018725}",20,0,-3.8641087102702634,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
172,False,"{'a': 0.3, 'e': 0.07624928516630233}",30,0,-4.960043336933424,"{0: 27, 1: 0, 2: 2, 3: 1, 4: 0}",0
173,False,"{'a': 0.3, 'e': 0.07602859212697055}",30,17,10.015629742678746,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.3, 'e': 0.07580980435789034}",20,13,-26.681955932597944,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
175,False,"{'a': 0.3, 'e': 0.07559289460184544}",35,7,-23.52421101112604,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 1}",1
176,False,"{'a': 0.3, 'e': 0.07537783614444091}",20,0,-7.605197146053274,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
177,False,"{'a': 0.3, 'e': 0.07516460280028289}",30,0,-1.906240661139779,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
178,False,"{'a': 0.3, 'e': 0.07495316889958614}",30,15,5.31862186832367,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
179,False,"{'a': 0.3, 'e': 0.07474350927519359}",30,15,25.031275217306174,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.3, 'e': 0.07453559924999299}",20,0,-14.092510583295004,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
181,False,"{'a': 0.3, 'e': 0.07432941462471664}",20,10,10.535148235941975,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.3, 'e': 0.07412493166611012}",20,8,22.62005645303092,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.3, 'e': 0.07392212709545729}",20,6,0.6053225602078429,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
184,False,"{'a': 0.3, 'e': 0.07372097807744857}",20,0,-15.947246908042189,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
185,False,"{'a': 0.3, 'e': 0.07352146220938077}",25,11,-14.881495575226284,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
186,False,"{'a': 0.3, 'e': 0.07332355751067665}",25,0,31.259148467310197,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
187,False,"{'a': 0.3, 'e': 0.07312724241271307}",30,10,16.471569792286612,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
188,False,"{'a': 0.3, 'e': 0.07293249574894728}",20,0,8.685013081141014,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
189,False,"{'a': 0.3, 'e': 0.07273929674533079}",20,15,8.275050928435501,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.3, 'e': 0.07254762501100116}",25,14,19.25881781422286,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.3, 'e': 0.07235746052924216}",30,14,12.793209678571513,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
192,False,"{'a': 0.3, 'e': 0.07216878364870323}",30,22,13.143730888945438,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.3, 'e': 0.07198157507486945}",25,4,20.68411888015621,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
194,False,"{'a': 0.3, 'e': 0.07179581586177382}",20,9,4.832889172386187,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
195,False,"{'a': 0.3, 'e': 0.0716114874039433}",20,10,-23.89992918617961,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
196,False,"{'a': 0.3, 'e': 0.07142857142857142}",25,3,-19.314944221058685,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
197,False,"{'a': 0.3, 'e': 0.07124704998790965}",30,13,16.976892611632692,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
198,False,"{'a': 0.3, 'e': 0.07106690545187015}",35,24,20.996971005171286,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.3, 'e': 0.07088812050083358}",20,14,13.889688699399446,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.3, 'e': 0.07071067811865475}",30,6,30.995124663588605,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.3, 'e': 0.07053456158585983}",30,12,28.800128640284484,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.3, 'e': 0.07035975447302918}",25,5,24.707628849153306,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.3, 'e': 0.07018624063435965}",20,0,-10.225195057909056,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
204,False,"{'a': 0.3, 'e': 0.07001400420140048}",20,13,12.775356625293067,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.3, 'e': 0.06984302957695782}",25,0,33.2801090254667,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
206,False,"{'a': 0.3, 'e': 0.06967330142916177}",25,3,16.979465940057324,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
207,False,"{'a': 0.3, 'e': 0.06950480468569159}",20,9,18.276282822070804,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.3, 'e': 0.06933752452815364}",25,0,23.593288415085315,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
209,False,"{'a': 0.3, 'e': 0.06917144638660747}",25,13,20.332977000340886,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.3, 'e': 0.06900655593423542}",20,5,23.073796178173403,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.3, 'e': 0.06884283908215143}",20,12,14.205005945458009,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.3, 'e': 0.06868028197434452}",30,16,25.374520817423157,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.3, 'e': 0.06851887098275317}",35,16,12.211458611031565,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
214,False,"{'a': 0.3, 'e': 0.06835859270246633}",25,13,25.816483806356057,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.3, 'e': 0.06819943394704735}",20,12,13.15068278256351,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.3, 'e': 0.06804138174397717}",20,0,-52.07259203685182,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
