trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
196,False,"{'a': 0.3, 'e': 0.07142857142857142}",20,12,14.049342775593004,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.3, 'e': 0.07124704998790965}",20,6,-10.816508072062888,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
198,False,"{'a': 0.3, 'e': 0.07106690545187015}",30,11,7.414134892821375,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
199,False,"{'a': 0.3, 'e': 0.07088812050083358}",20,2,25.869523866640133,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.3, 'e': 0.07071067811865475}",20,15,10.907776224091146,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.3, 'e': 0.07053456158585983}",25,0,8.77340680089636,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
202,False,"{'a': 0.3, 'e': 0.07035975447302918}",20,7,26.824544313983658,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.3, 'e': 0.07018624063435965}",25,0,45.07896556039846,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
204,False,"{'a': 0.3, 'e': 0.07001400420140048}",25,5,30.563510444600087,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.3, 'e': 0.06984302957695782}",20,12,2.4643865907306246,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
206,False,"{'a': 0.3, 'e': 0.06967330142916177}",20,0,28.998856313161397,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
207,False,"{'a': 0.3, 'e': 0.06950480468569159}",20,9,18.41463226475002,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.3, 'e': 0.06933752452815364}",25,0,14.937136693317353,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
209,False,"{'a': 0.3, 'e': 0.06917144638660747}",30,10,27.13859489056415,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
210,False,"{'a': 0.3, 'e': 0.06900655593423542}",25,13,24.351903952447632,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.3, 'e': 0.06884283908215143}",20,10,16.8238758829886,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.3, 'e': 0.06868028197434452}",25,7,31.05128370988034,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.3, 'e': 0.06851887098275317}",25,0,22.178487265077944,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
214,False,"{'a': 0.3, 'e': 0.06835859270246633}",25,0,32.65194639552233,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
215,False,"{'a': 0.3, 'e': 0.06819943394704735}",30,0,22.594383236169744,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
216,False,"{'a': 0.3, 'e': 0.06804138174397717}",20,0,25.948231036252057,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
217,False,"{'a': 0.3, 'e': 0.06788442333021306}",25,4,30.537087055810726,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.3, 'e': 0.06772854614785964}",35,24,21.743451294909438,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.3, 'e': 0.06757373783994859}",20,0,28.71248352147341,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
220,False,"{'a': 0.3, 'e': 0.06741998624632421}",30,16,16.15303964085068,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
221,False,"{'a': 0.3, 'e': 0.06726727939963124}",25,20,7.446611391400653,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.3, 'e': 0.06711560552140243}",30,22,15.487094518773743,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.3, 'e': 0.06696495301824251}",25,9,23.94991795388021,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.3, 'e': 0.0668153104781061}",25,0,27.525519935718265,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
225,False,"{'a': 0.3, 'e': 0.06666666666666667}",20,9,15.82977397253378,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.3, 'e': 0.06651901052377393}",25,19,8.653738291231425,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.3, 'e': 0.0663723311599972}",25,4,20.120013911733988,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
228,False,"{'a': 0.3, 'e': 0.06622661785325219}",25,16,14.402293365923114,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.3, 'e': 0.06608186004550898}",20,0,-16.942156011758787,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
